id,liveness,loudness,analysis_url,valence,mode,speechiness,tempo,key,type,acousticness,time_signature,uri,energy,track_href,duration_ms,danceability,instrumentalness
5Bdoo7LrNuTlOPYx6w7ORW,0.103,-3.426,https://api.spotify.com/v1/audio-analysis/5Bdoo7LrNuTlOPYx6w7ORW,0.083,0,0.276,87.022,9,audio_features,0.0171,4,spotify:track:5Bdoo7LrNuTlOPYx6w7ORW,0.73,https://api.spotify.com/v1/tracks/5Bdoo7LrNuTlOPYx6w7ORW,258667,0.538,0.0
1HR2CTi0ytRJIcik1QKdOa,0.0726,-4.472,https://api.spotify.com/v1/audio-analysis/1HR2CTi0ytRJIcik1QKdOa,0.467,0,0.0706,132.077,5,audio_features,0.251,4,spotify:track:1HR2CTi0ytRJIcik1QKdOa,0.696,https://api.spotify.com/v1/tracks/1HR2CTi0ytRJIcik1QKdOa,392827,0.727,0.0
3UmaczJpikHgJFyBTAJVoz,0.518,-4.325,https://api.spotify.com/v1/audio-analysis/3UmaczJpikHgJFyBTAJVoz,0.507,0,0.238,80.063,6,audio_features,0.0371,4,spotify:track:3UmaczJpikHgJFyBTAJVoz,0.768,https://api.spotify.com/v1/tracks/3UmaczJpikHgJFyBTAJVoz,404107,0.78,2.34e-06
3jKtdhQ5fy1JfUFc43ayx1,0.154,-16.166,https://api.spotify.com/v1/audio-analysis/3jKtdhQ5fy1JfUFc43ayx1,0.608,0,0.0352,135.039,4,audio_features,0.519,4,spotify:track:3jKtdhQ5fy1JfUFc43ayx1,0.558,https://api.spotify.com/v1/tracks/3jKtdhQ5fy1JfUFc43ayx1,178444,0.663,0.822
170bb45dHeLQdCZjAltIiB,0.0513,-3.155,https://api.spotify.com/v1/audio-analysis/170bb45dHeLQdCZjAltIiB,0.529,0,0.287,169.837,0,audio_features,0.209,4,spotify:track:170bb45dHeLQdCZjAltIiB,0.698,https://api.spotify.com/v1/tracks/170bb45dHeLQdCZjAltIiB,146431,0.723,0.000795
1CM4rFDU9q4EoLy2K44qE6,0.0601,-1.695,https://api.spotify.com/v1/audio-analysis/1CM4rFDU9q4EoLy2K44qE6,0.715,0,0.0633,99.96,2,audio_features,0.464,4,spotify:track:1CM4rFDU9q4EoLy2K44qE6,0.765,https://api.spotify.com/v1/tracks/1CM4rFDU9q4EoLy2K44qE6,184618,0.823,0.0
1ZaeaGLhFSckG8sv1y7AWk,0.108,-4.309,https://api.spotify.com/v1/audio-analysis/1ZaeaGLhFSckG8sv1y7AWk,0.652,0,0.102,89.966,6,audio_features,0.632,4,spotify:track:1ZaeaGLhFSckG8sv1y7AWk,0.592,https://api.spotify.com/v1/tracks/1ZaeaGLhFSckG8sv1y7AWk,179444,0.849,2.39e-06
36EPfDEkfLYQLt8Fvced8x,0.301,-2.92,https://api.spotify.com/v1/audio-analysis/36EPfDEkfLYQLt8Fvced8x,0.543,0,0.0957,100.066,0,audio_features,0.38,4,spotify:track:36EPfDEkfLYQLt8Fvced8x,0.818,https://api.spotify.com/v1/tracks/36EPfDEkfLYQLt8Fvced8x,171600,0.862,0.0
5dKlbv9CJjO5tC1jFQgZeH,0.104,-4.638,https://api.spotify.com/v1/audio-analysis/5dKlbv9CJjO5tC1jFQgZeH,0.403,0,0.148,92.958,4,audio_features,0.323,4,spotify:track:5dKlbv9CJjO5tC1jFQgZeH,0.757,https://api.spotify.com/v1/tracks/5dKlbv9CJjO5tC1jFQgZeH,198710,0.794,0.0
0nbXyq5TXYPCO7pr3N8S4I,0.79,-6.687,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,0.642,0,0.0559,116.971,10,audio_features,0.104,4,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.586,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,196653,0.896,0.0
24zoLYPSzTYPEoFmAWuw94,0.218,-6.034,https://api.spotify.com/v1/audio-analysis/24zoLYPSzTYPEoFmAWuw94,0.967,1,0.0383,96.012,8,audio_features,0.252,4,spotify:track:24zoLYPSzTYPEoFmAWuw94,0.812,https://api.spotify.com/v1/tracks/24zoLYPSzTYPEoFmAWuw94,242120,0.746,0.000133
